UTM X,UTM Y,CO2 gm-2-d-1 ,Nombre de la zona
286717,2168119,8.118,Escalera 
286766.04,2168415.31,28.71,Escalera 
286763.8,2168426.17,9.6052,Escalera 
286766.72,2168422.62,501.16,Escalera 
286773.96,2168418.35,11.3344,Escalera 
286783.78,2168419.94,24.42,Escalera 
286788.96,2168413.4,27.9224,Escalera 
286779.35,2168408.52,35.5432,Escalera 
286769.93,2168406.03,3.4914,Escalera 
286777.71,2168401.18,16.9664,Escalera 
286782.82,2168396.41,29.5064,Escalera 
286767.99,2168398.75,18.6252,Escalera 
286767.42,2168391.52,82.456,Escalera 
286751.75,2168399.25,14.1108,Escalera 
286759.7813,2168386.5,7.6604,Escalera 
286763.83,2168397.35,20.2576,Escalera 
286758.47,2168397.64,13.4068,Escalera 
286755.66,2168391.1,31.9352,Escalera 
286758.04,2168389.49,8628.4,Escalera 
286755.71,2168385.95,31658,Escalera 
286758.17,2168384.89,16891.6,Escalera 
286762.44,2168387.52,24732.4,Escalera 
286765.82,2168382.07,10071.6,Escalera 
286762.49,2168378.39,3839.88,Escalera 
286769.53,2168374.73,2192.08,Escalera 
286775,2168350.75,650.76,Escalera 
286776.6875,2168360.5,457.16,Escalera 
286786.8438,2168332,134.42,Escalera 
286776.75,2168313.25,134.376,Escalera 
286778.5,2168308.75,128.48,Escalera 
286772.5,2168281.5,235.884,Escalera 
286759.0938,2168266.25,45.76,Escalera 
286763.5938,2168237.5,189.948,Escalera 
286760.4688,2168232.75,6.886,Escalera 
286788.68,2168509.53,3.95549739,Escalera_02
286788.9688,2168511.25,126.3043023,Escalera_02
286754.1875,2168505.5,60.27050974,Escalera_02
286767.25,2168502.75,7.470494463,Escalera_02
286745.4063,2168509.75,12.64681565,Escalera_02
286750.3125,2168516.25,21.36367894,Escalera_02
286756.9375,2168515.75,25,Escalera_02
286764.5313,2168511,11.99978645,Escalera_02
286794.4688,2168512.75,590.1982145,Escalera_02
286791.6875,2168517.25,60.67840469,Escalera_02
286784.125,2168518.25,532.6006066,Escalera_02
286780.625,2168514,116.3749489,Escalera_02
286787.1563,2168517,117.4415431,Escalera_02
286773.8438,2168508.5,3687.194001,Escalera_02
286774.6563,2168506.75,384.9200476,Escalera_02
286792.625,2168508.5,100.0330354,Escalera_02
286785.0938,2168509.75,10.48020804,Escalera_02
286783.1563,2168514.25,14.37697273,Escalera_02
286799.8125,2168514,15.7116778,Escalera_02
286803.9375,2168517,8.838118235,Escalera_02
286787.5313,2168513.5,9.710190623,Escalera_02
286786.25,2168511.75,11.13805888,Escalera_02
286760.2813,2168507.25,6.774794362,Escalera_02
286767.2813,2168514.25,7.440580711,Escalera_02
286767.0625,2168511.25,13.49075693,Escalera_02
286769.9688,2168509.25,2.925300962,Escalera_02
286761.2188,2168496.75,2.276903353,Escalera_02
286757.0625,2168510.5,390.0782941,Escalera_02
286758.0625,2168505.5,3.846290361,Escalera_02
286772.0625,2168501,11.7299911,Escalera_02
286764.8438,2168501.75,17.8012791,Escalera_02
