UTM X,UTM Y,CO2 gm-2-d-1 ,Nombre de la zona
594864,2209249,133.26228,Acoculco
594862,2209263,8.947233,Acoculco
594866,2209265,4.2570873,Acoculco
594866,2209265,8.824005,Acoculco
594870,2209262,10.285137,Acoculco
594865,2209277,20.15658,Acoculco
594864,2209278,10817.658,Acoculco
594868,2209279,2035.0224,Acoculco
594859,2209278,8.414712,Acoculco
594859,2209284,375.58134,Acoculco
594857,2209290,0.7714953,Acoculco
594871,2209293,22.348278,Acoculco
594870,2209232,19007.919,Acoculco
590075,2204874,0.3782,Acoculco
590077,2204872,0.1935,Acoculco
590094,2204867,0.5072,Acoculco
590100,2204866,0.1572,Acoculco
590089,2204854,0.3213,Acoculco
590095,2204862,0.7813,Acoculco
590091,2204865,0.9285,Acoculco
590087,2204865,4.396,Acoculco
590086,2204874,141.8,Acoculco
590084,2204863,30.56,Acoculco
