UTM X,UTM Y,CO2_value,Nombre de la zona,Lat,Lon
589539.0,2203190.0,3.9133692,Acoculco,19.9230151004979,-98.14446913035876
589509.0,2203200.0,9.558972,Acoculco,19.923106837170263,-98.14475526570116
589511.0,2203197.0,81.11043,Acoculco,19.923079637978695,-98.14473630340296
589497.0,2203205.0,8.617158,Acoculco,19.92315256746824,-98.1448696713418
589478.0,2203189.0,200.72961,Acoculco,19.923008868479293,-98.14505197569082
589476.0,2203176.0,227.13561,Acoculco,19.922891495550793,-98.1450717153409
589451.0,2203170.0,227.26764,Acoculco,19.922838429500775,-98.1453108577137
589422.0,2203153.0,12.855321,Acoculco,19.922686153471883,-98.14558875013917
589398.0,2203157.0,229.99626,Acoculco,19.922723398378125,-98.14581785264821
589384.0,2203184.0,9.514962,Acoculco,19.922968006462256,-98.14595029872893
589389.0,2203172.0,3.5304822,Acoculco,19.922859347871142,-98.1459031109134
589341.0,2203186.0,6.825951,Acoculco,19.92298805115555,-98.14636102567765
589278.0,2203160.0,3.9204108,Acoculco,19.922756010614865,-98.14696419103235
589332.0,2203207.0,191.22345,Acoculco,19.9231782149578,-98.14644599352718
589450.0,2203200.0,98.40636,Acoculco,19.9231095481163,-98.14531895472615
589559.0,2203155.0,11.983923,Acoculco,19.92269792944282,-98.1442797513984
589574.0,2203153.0,4154.544,Acoculco,19.922679168057435,-98.14413653829833
589562.0,2203152.0,19.518435,Acoculco,19.922670684214832,-98.14425123520651
589567.0,2203130.0,150.29415,Acoculco,19.922471667675893,-98.14420453494671
589573.0,2203141.0,36.889182,Acoculco,19.922570785008794,-98.14414667591984
589585.0,2203153.0,195.97653,Acoculco,19.922678662073835,-98.14403144404429
589562.0,2203156.0,9198.09,Acoculco,19.922706827230257,-98.1442510406969
589582.0,2203124.0,127.629,Acoculco,19.922416763222614,-98.14406151661076
589582.0,2203133.0,314.40744,Acoculco,19.922498085005387,-98.14406107887255
589590.0,2203128.0,150.69024,Acoculco,19.92245253822703,-98.1439848899859
589586.0,2203125.0,10562.4,Acoculco,19.922425614975552,-98.14402325194217
589592.0,2203119.0,4810.293,Acoculco,19.922371124438182,-98.14396621975331
589588.0,2203113.0,91.18872,Acoculco,19.92231709392897,-98.14400472761376
589589.0,2203113.0,1226.9988,Acoculco,19.922317047926747,-98.14399517361261
589589.0,2203113.0,2535.8562,Acoculco,19.922317047926747,-98.14399517361261
589590.0,2203106.0,212.48028,Acoculco,19.922253751648544,-98.14398596010139
589600.0,2203102.0,96.91002,Acoculco,19.92221714858066,-98.14389061471644
589614.0,2203080.0,172.78326,Acoculco,19.922017717848163,-98.14375792917768
589606.0,2203059.0,178.10847,Acoculco,19.921828335121702,-98.14383538266858
589562.0,2203061.0,9.41814,Acoculco,19.921848430573792,-98.14425566018495
589553.0,2203103.0,85.02732,Acoculco,19.922228346138617,-98.14433960388358
589531.0,2203104.0,209.53161,Acoculco,19.922238393412524,-98.14454974320743
589434.0,2203065.0,191.26746,Acoculco,19.921890455792745,-98.14547837480616
589490.0,2203087.0,5.096358,Acoculco,19.922086670001487,-98.14494228311447
589502.0,2203195.0,8947.233,Acoculco,19.92306198012733,-98.14482238703519
589514.0,2203185.0,2169.693,Acoculco,19.92297107102822,-98.14470822448476
589514.0,2203186.0,61.52598,Acoculco,19.92298010678286,-98.14470817588257
589948.0,2204938.25,11.4,Acoculco,19.938792978959935,-98.14047610673173
589971.125,2204854.75,1.27,Acoculco,19.93803742647487,-98.14025923059587
589967.8125,2204930.25,1.67,Acoculco,19.938719777138903,-98.1402871898066
589974.0,2204849.5,4.41,Acoculco,19.937989855962165,-98.14023201685995
589973.375,2204851.5,1.91,Acoculco,19.938007956319307,-98.14023789090123
589953.3125,2204918.75,7.77,Acoculco,19.93861653665968,-98.14042629919025
589970.4375,2204886.25,2.26,Acoculco,19.93832208371631,-98.14026425941911
589961.9375,2204936.0,46.3,Acoculco,19.9387720042167,-98.14034304417144
589960.25,2204938.75,296.0,Acoculco,19.93879693049071,-98.14035903375076
589943.4375,2204851.25,0.367,Acoculco,19.938007081443242,-98.14052395399462
589936.5,2204860.0,3.9,Acoculco,19.93808646474244,-98.14058981369293
589964.375,2204929.5,8.0,Acoculco,19.938713159283303,-98.14032007171285
589968.125,2204936.25,2.58,Acoculco,19.938773977058244,-98.14028391050289
589966.3125,2204937.25,5190.0,Acoculco,19.938783096592715,-98.14030118001138
589951.125,2204861.0,8.54,Acoculco,19.9380948244424,-98.1404500238076
589949.5625,2204856.25,90.7,Acoculco,19.93805197695911,-98.14046518559866
589955.125,2204856.5,15.1,Acoculco,19.93805397874526,-98.14041202403459
589947.6875,2204855.0,18.0,Acoculco,19.938040768972353,-98.14048316221047
589948.0,2204854.5,644.0,Acoculco,19.938036236662015,-98.14048020073376
589949.1875,2204854.25,49.0,Acoculco,19.93803392283566,-98.14046886646673
589950.75,2204853.0,1.34,Acoculco,19.938022555943995,-98.14045399798268
589953.1875,2204842.5,701.0,Acoculco,19.937927568105348,-98.14043122111943
589953.5,2204842.5,2150.0,Acoculco,19.937927553658874,-98.14042823520364
591070.125,2208913.5,0.6333039,Acoculco,19.974659886324144,-98.12955727185154
591073.3125,2208950.5,0.8115444,Acoculco,19.974994056471395,-98.12952497318156
591050.375,2208891.25,2.6322381,Acoculco,19.974459768839072,-98.12974712826995
591078.875,2208945.25,1.2049938,Acoculco,19.974946358347445,-98.12947207206406
591069.125,2208913.5,0.026353188,Acoculco,19.97465993321983,-98.12956682896588
591073.625,2208955.25,1.1992725,Acoculco,19.975036961226703,-98.12952175095197
591045.6875,2208904.5,2.1727737,Acoculco,19.974579711191172,-98.12979127014067
591075.5625,2208945.75,1.9104741,Acoculco,19.97495103153753,-98.12950370525878
591055.6875,2208893.25,1.4461686,Acoculco,19.97447759108677,-98.12969625697431
591053.25,2208905.75,0.3921291,Acoculco,19.974590651205578,-98.12971893250534
591047.6875,2208948.5,676.8738,Acoculco,19.97497718674253,-98.12976997394094
591075.4375,2208943.75,0.7692948,Acoculco,19.97493296606891,-98.12950499911236
591041.5625,2208939.25,5.378022,Acoculco,19.97489389399131,-98.12982897007221
591089.5625,2208968.75,5.664087,Acoculco,19.975158195191284,-98.12936876429345
591049.625,2208940.5,1.315899,Acoculco,19.97490481057251,-98.12975185372981
591052.375,2208907.0,1.7634807,Acoculco,19.974601986814594,-98.12972723298654
591085.5625,2208969.0,1.6860231,Acoculco,19.97516064173231,-98.12940698046607
591051.4375,2208935.0,0.13180995,Acoculco,19.974855029426987,-98.12973480419288
591056.9375,2208917.75,0.24949269,Acoculco,19.97469890630109,-98.1296830955194
591090.0,2208958.75,2.3004027,Acoculco,19.975067818019173,-98.12936507918796
591060.0,2208936.25,0.23919435,Acoculco,19.97486592252219,-98.12965290930121
591058.4375,2208933.0,1.0417167,Acoculco,19.974836629874613,-98.12966800350085
591053.625,2208930.5,0.4559436,Acoculco,19.974814266363214,-98.12971412115098
591067.3125,2208941.5,0.012899331,Acoculco,19.974913016861418,-98.12958276240323
591069.875,2208942.0,2.7471042,Acoculco,19.97491741452378,-98.12955824745717
591057.1875,2208947.0,4.0396779,Acoculco,19.97496318781105,-98.12967925556364
591066.1875,2208946.25,1.4796162,Acoculco,19.974955989030423,-98.12959327856939
591077.9375,2208985.5,0.8128647,Acoculco,19.975310087844477,-98.12947903515386
591334.375,2202165.25,0.6412257,Acoculco,19.91367237255418,-98.1273668848197
591334.5,2202165.0,0.497313,Acoculco,19.913670107763956,-98.12736570303035
591314.8125,2202159.25,0.08815203,Acoculco,19.913619075139994,-98.1275540713027
591301.875,2202167.25,0.16261695,Acoculco,19.913691967218064,-98.12767727254004
591334.0625,2202160.75,0.14092002,Acoculco,19.913631726451108,-98.12737009329956
591333.9375,2202161.25,0.33654447,Acoculco,19.91363625017198,-98.12737126269819
591345.9375,2202172.75,2.5371765,Acoculco,19.913739598427185,-98.12725605140706
591345.9375,2202173.0,1.1086119,Acoculco,19.913741857357756,-98.12725603901482
591337.6875,2202190.5,0.5686092,Acoculco,19.91390036926435,-98.1273339875449
591319.875,2202191.25,0.005527656,Acoculco,19.9139079810043,-98.12750412127275
591319.5,2202191.25,0.6971184,Acoculco,19.913907998580406,-98.12750770381813
591319.8125,2202191.25,1.0069488,Acoculco,19.91390798393366,-98.12750471836365
591344.0625,2202173.0,0.4814694,Acoculco,19.913741945261854,-98.12727395172192
591344.0625,2202173.0,0.43987995,Acoculco,19.913741945261854,-98.12727395172192
588033.0,2205436.0,6.755535,Acoculco,19.943378117936724,-98.15875012951288
588028.0,2205440.0,2.7567864,Acoculco,19.943414487274882,-98.15879771461364
588030.0,2205454.0,2.165292,Acoculco,19.94354089750402,-98.15877793401621
588036.0,2205448.0,1.3986378,Acoculco,19.943486411369538,-98.15872088929085
588050.0,2205443.0,1.4457285,Acoculco,19.94344059888708,-98.15858735428331
588046.0,2205422.0,2.1516489,Acoculco,19.9432510288407,-98.15862658066474
588032.0,2205420.0,0.5963355,Acoculco,19.943233590920123,-98.15876045052345
588019.0,2205420.0,15.557535,Acoculco,19.943234179184763,-98.15888466936353
588019.0,2205437.0,13.299822,Acoculco,19.94338778722825,-98.15888385592008
588027.0,2205452.0,3.2659821,Acoculco,19.943522961730565,-98.1588066956668
588045.0,2205467.0,7.974612,Acoculco,19.943657683596363,-98.15863398207334
588052.0,2205460.0,1.2362409,Acoculco,19.943594116385,-98.1585674299103
588056.0,2205449.0,4.823496,Acoculco,19.943494541890143,-98.15852973521922
588059.0,2205438.0,31.673997,Acoculco,19.943395012656904,-98.15850159587748
588043.0,2205445.0,1.62837,Acoculco,19.943458987257248,-98.15865414570855
585921.0,2203855.0,6.209811,Acoculco,19.929186918788584,-98.17900480538546
585912.4375,2203844.25,0.7345269,Acoculco,19.929090161529622,-98.1790871174336
585912.6875,2203844.25,0.17964882,Acoculco,19.929090150496826,-98.17908472881004
585928.0,2203847.5,0.10993698,Acoculco,19.92911884111769,-98.17893827393391
585943.5,2203853.25,0.34098948,Acoculco,19.929170112906856,-98.17878991083796
585959.375,2203862.5,0.20042154,Acoculco,19.929252993404692,-98.17863780129703
586051.375,2203873.75,0.040638834,Acoculco,19.929350581947546,-98.17775826130743
586051.6875,2203873.25,0.14690538,Acoculco,19.929346050221618,-98.1777552988944
586012.0625,2203892.25,0.36418275,Acoculco,19.9295194820588,-98.17813300856308
586129.3125,2203863.0,0.30331692,Acoculco,19.929250000210605,-98.17701410993436
586124.1875,2203867.5,0.6931575,Acoculco,19.92929088815377,-98.17706286623228
586129.125,2203840.0,0.16178076,Acoculco,19.9290421845679,-98.17701697739133
586112.3125,2203834.75,0.14422077,Acoculco,19.928995490243064,-98.17717785775311
586135.1875,2203836.0,0.31251501,Acoculco,19.929005773046107,-98.17695924045846
594818.0,2209203.0,30.001617,Acoculco,19.977096310440345,-98.09372364373893
594810.0,2209210.0,15.896412,Acoculco,19.977159950109076,-98.09379973955686
594810.0,2209203.0,13.396644,Acoculco,19.97709670108034,-98.0938001010838
594820.0,2209195.0,27.145368,Acoculco,19.977023928172287,-98.09370494261852
594813.0,2209199.0,86.2596,Acoculco,19.977060412292154,-98.09377163617201
594815.0,2209197.0,30.520935,Acoculco,19.977042243481357,-98.09375262513852
594827.0,2209202.0,9.233298,Acoculco,19.977086835355802,-98.09363768088396
594847.0,2209215.0,73.80477,Acoculco,19.97720332098968,-98.09344586587582
594868.0,2209228.0,4.449411,Acoculco,19.97731975754548,-98.09324449341086
594868.0,2209231.0,3.3544422,Acoculco,19.97734686426727,-98.09324433837405
594869.0,2209229.0,9.664596,Acoculco,19.977328744260735,-98.09323488455124
594868.0,2209231.0,13.889556,Acoculco,19.97734686426727,-98.09324433837405
594871.0,2209226.0,8.929629,Acoculco,19.9773015398202,-98.09321592523142
594876.0,2209233.0,7213.239,Acoculco,19.977364544530477,-98.0931677775536
594867.0,2209237.0,996.8265,Acoculco,19.97740112656896,-98.09325358548476
594865.0,2209233.0,25.063695,Acoculco,19.977365081988317,-98.0932729065649
594869.0,2209235.0,1711.1088,Acoculco,19.97738295770404,-98.09323457447391
594869.0,2209237.0,27.669087,Acoculco,19.977401028851734,-98.09323447111457
594869.0,2209236.0,137.70729,Acoculco,19.977391993277894,-98.09323452279425
594865.0,2209238.0,50.87556,Acoculco,19.97741025985805,-98.09327264817752
594873.0,2209245.0,23.391315,Acoculco,19.977473118000752,-98.09319582891861
594864.0,2209249.0,133.26228,Acoculco,19.97750970002776,-98.09328163691451
594862.0,2209263.0,8.947233,Acoculco,19.977636295773998,-98.09330002782812
594866.0,2209265.0,4.2570873,Acoculco,19.977654171492617,-98.09326169567301
594866.0,2209265.0,8.824005,Acoculco,19.977654171492617,-98.09326169567301
594870.0,2209262.0,10.285137,Acoculco,19.977626869334788,-98.09322362191462
594865.0,2209277.0,20.15658,Acoculco,19.977762647234012,-98.09327063273165
594864.0,2209278.0,10817.658,Acoculco,19.97777173166536,-98.0932801382605
594868.0,2209279.0,2035.0224,Acoculco,19.977780571804576,-98.09324185775027
594859.0,2209278.0,8.414712,Acoculco,19.977771975946595,-98.09332792429852
594859.0,2209284.0,375.58134,Acoculco,19.977826189388594,-98.09332761424554
594857.0,2209290.0,0.7714953,Acoculco,19.97788050053973,-98.09334641862
594871.0,2209293.0,22.348278,Acoculco,19.977906923250078,-98.09321246257606
594870.0,2209232.0,19007.919,Acoculco,19.977355802123167,-98.09322517233036
590075.0,2204874.0,0.3782,Acoculco,19.938206558449263,-98.13926576937472
590077.0,2204872.0,0.1935,Acoculco,19.93818839441192,-98.13924675739226
590094.0,2204867.0,0.5072,Acoculco,19.938142428728757,-98.139084568173
590100.0,2204866.0,0.1572,Acoculco,19.938133115184527,-98.1390272874988
590089.0,2204854.0,0.3213,Acoculco,19.938025195791194,-98.13913297934356
590095.0,2204862.0,0.7813,Acoculco,19.93809720379751,-98.13907525804606
590091.0,2204865.0,0.9285,Acoculco,19.93812449617912,-98.13911333091411
590087.0,2204865.0,4.396,Acoculco,19.938124681374823,-98.13915155067035
590086.0,2204874.0,141.8,Acoculco,19.93820604920689,-98.1391606649888
590084.0,2204863.0,30.56,Acoculco,19.9381067488139,-98.13918031340104
