UTM X,UTM Y,CO2_value,Nombre de la zona,lat,lon
239589.5248,2223028.852,0.05901741,Puruandiro,20.08678000190479,-101.49022400019958
239631.9736,2223005.289,3.25674,Puruandiro,20.086572998191897,-101.48981499998976
239499.9074,2223054.227,1.5438708,Puruandiro,20.086997001093803,-101.49108400005933
239522.8368,2223019.99,0.6099786,Puruandiro,20.086691001800105,-101.49086000029065
239581.0569,2223001.397,3.7109232,Puruandiro,20.086530995700475,-101.49030100000536
239457.46,2223056.855,1.8228942,Puruandiro,20.087015000310718,-101.49148999971354
239457.46,2223056.855,0.29865186,Puruandiro,20.087015000310718,-101.49148999971354
239479.1026,2223174.608,1.3022559,Puruandiro,20.0880809957866,-101.49129999955177
239703.1915,2223485.726,2.4302322,Puruandiro,20.09091999676156,-101.48920299957156
239703.1915,2223485.726,0.26199153,Puruandiro,20.09091999676156,-101.48920299957156
239703.1915,2223485.726,0.5100759,Puruandiro,20.09091999676156,-101.48920299957156
239675.4823,2223452.135,4.3847163,Puruandiro,20.0906130005532,-101.48946299963896
239713.296,2223363.511,1.2195171,Puruandiro,20.089817998871425,-101.48908899964003
239720.7427,2223357.64,38.724399,Puruandiro,20.089765999164936,-101.48901700039394
239720.7427,2223357.64,66.85119,Puruandiro,20.089765999164936,-101.48901700039394
239699.2584,2223390.526,9.827433,Puruandiro,20.09005999857898,-101.489226999591
239718.5131,2223425.573,15.720372,Puruandiro,20.090378999513185,-101.48904800004249
239713.0794,2223426.097,23.290092,Puruandiro,20.09038299769365,-101.4891000000715
239726.6834,2223454.139,5.452839,Puruandiro,20.09063799550086,-101.48897399947178
239748.9326,2223430.436,10.047483,Puruandiro,20.09042700331509,-101.4887580005032
239798.8032,2223413.409,2.6731674,Puruandiro,20.090280004493003,-101.48827900030064
239815.5471,2223420.469,7.838181,Puruandiro,20.0903459988049,-101.48812000008787
239810.4997,2223453.885,6.460668,Puruandiro,20.09064699933985,-101.48817300038412
239799.5414,2223497.912,2.2858794,Puruandiro,20.091042999664786,-101.48828400033423
239800.4027,2223555.608,2.7149769,Puruandiro,20.091563996969466,-101.48828400022943
239767.2512,2223507.92,3.2131701,Puruandiro,20.091129000175886,-101.48859399965977
239751.7986,2223461.186,0.39102885,Puruandiro,20.090705001478543,-101.48873499983713
239760.3047,2223407.116,0.6267024,Puruandiro,20.09021800251034,-101.48864599989632
239760.4664,2223396.923,82.91484,Puruandiro,20.09012600160717,-101.48864300045749
239758.7133,2223363.608,0.5774112,Puruandiro,20.089824996535285,-101.48865500037915
239768.3799,2223366.233,8.075835,Puruandiro,20.089849997968194,-101.4885629996665
239768.3799,2223366.233,21.578103,Puruandiro,20.089849997968194,-101.4885629996665
239786.0269,2223377.711,6.676317,Puruandiro,20.089956000029716,-101.48839600011198
239843.7164,2223309.615,18.413784,Puruandiro,20.089349000826324,-101.48783499993148
239833.2801,2223318.521,0.5294403,Puruandiro,20.089427998348004,-101.48793600040841
239822.0428,2223336.855,0.5703696,Puruandiro,20.08959200416915,-101.48804600012627
239809.9697,2223362.289,6.29343,Puruandiro,20.089819996297738,-101.48816499981407
239784.5044,2223373.857,7.750161,Puruandiro,20.08992100081416,-101.48840999953777
239768.7804,2223386.054,3.9855456,Puruandiro,20.090028996521315,-101.48856200012294
239752.5474,2223413.213,0.019448019,Puruandiro,20.090272000826307,-101.48872099964558
239107.9729,2223345.865,10.971693,Puruandiro,20.089576995863,-101.4948709998204
239069.699,2223361.613,10.888074,Puruandiro,20.08971399674492,-101.49523900005778
239106.2314,2223383.331,1.7771238,Puruandiro,20.089915003087576,-101.49489300016575
239053.1824,2223411.706,1.8162927,Puruandiro,20.09016400339393,-101.49540399970475
239075.1638,2223440.065,2.5266141,Puruandiro,20.090422998617772,-101.49519799999557
239046.067,2223453.682,7.195635,Puruandiro,20.09054200029457,-101.4954780002169
239036.2456,2223398.778,1.2617667,Puruandiro,20.090045000587942,-101.49556399978033
239039.5725,2223376.353,0.42218793,Puruandiro,20.089842997751905,-101.49552899951837
239035.0321,2223380.63,3.8984058,Puruandiro,20.08988099677104,-101.49557299978004
239032.1179,2223367.714,1.5680763,Puruandiro,20.089763997490984,-101.49559900028169
239040.4403,2223336.464,0.4317381,Puruandiro,20.089482997866448,-101.49551500034146
239028.212,2223302.531,1.227879,Puruandiro,20.0891749986689,-101.49562700007849
239027.3435,2223300.44,26.00991,Puruandiro,20.089156003777248,-101.4956350003514
239031.491,2223269.917,2.3285691,Puruandiro,20.088881003231226,-101.49559100019943
239030.7623,2223256.192,1.0729638,Puruandiro,20.088756995690193,-101.49559600022967
239048.7278,2223246.951,7.948206,Puruandiro,20.08867599605407,-101.49542299993507
239095.9427,2223241.26,4.0365972,Puruandiro,20.088630997848608,-101.49497100028816
239113.3441,2223271.239,2.1824559,Puruandiro,20.088903999017727,-101.49480899975713
239148.1833,2223221.759,18.070506,Puruandiro,20.088462000829942,-101.49446900048875
239104.2664,2223231.056,1.6798617,Puruandiro,20.0885400009101,-101.49488999968669
239172.5932,2223237.566,0.9391734,Puruandiro,20.08860800361538,-101.49423799958899
239166.9968,2223234.216,6.227415,Puruandiro,20.08857700389716,-101.49429099983915
239201.0375,2223229.276,2.2651947,Puruandiro,20.08853700347687,-101.49396500052349
239188.6033,2223202.545,1.6825023,Puruandiro,20.088293996781708,-101.49408000016412
239222.5083,2223188.525,4.3503885,Puruandiro,20.088172003376243,-101.49375400025562
239235.4791,2223209.155,4.643055,Puruandiro,20.088360002564194,-101.49363300032952
239245.4669,2223240.241,2.6643654,Puruandiro,20.088641995614054,-101.49354200023916
239310.7394,2223210.466,1.3383441,Puruandiro,20.088382000078017,-101.49291400038712
239212.1424,2223279.065,2.002455,Puruandiro,20.08898799808731,-101.49386599967467
239158.0658,2223280.76,2.5415775,Puruandiro,20.088995996288848,-101.49438299961822
238957.9563,2223265.036,4.2614883,Puruandiro,20.088826997999828,-101.49629300004652
238925.3921,2223347.602,6.231816,Puruandiro,20.089567999194298,-101.49661600017991
238931.5745,2223362.131,233.07696,Puruandiro,20.089700002557088,-101.49655900022
239136.4581,2223144.508,0.9933057,Puruandiro,20.0877629956096,-101.49457000020524
239133.1433,2223146.773,175.64391,Puruandiro,20.087782996213498,-101.49460200014798
239099.4477,2223153.813,1.954044,Puruandiro,20.087842001007807,-101.49492500046053
239080.432,2223127.846,634.6242,Puruandiro,20.087605002006338,-101.49510299983814
